,0
total_logs,0.08425157
unique_device_count,0.078425236
fail_ratio,0.035581842
mean_duration,0.030053504
sensitive_ratio,0.023056325
vpn_ratio,0.011530169
shift_logic,0.0003016111
unique_patient_count,3.0837018e-05
