idx,total_error,UserID,Date,top1_feature,top1_input,top1_recon,top1_sq_error,top1_pct,top2_feature,top2_input,top2_recon,top2_sq_error,top2_pct,top3_feature,top3_input,top3_recon,top3_sq_error,top3_pct
30,1.2114312648773193,11,2024-01-01,shift_logic,2.1759817600250244,-0.03970812261104584,4.9092817306518555,0.5065580010414124,sensitive_ratio,2.1521012783050537,0.5594555139541626,2.536520481109619,0.2617276608943939,fail_ratio,0.3110353648662567,1.204054832458496,0.7974837422370911,0.08228734880685806
31,0.5554471015930176,11,2024-01-02,shift_logic,1.735283613204956,-0.009935970418155193,3.0457913875579834,0.6854368448257446,mean_duration,1.4117844104766846,0.4864998459815979,0.8561515212059021,0.19267170131206512,total_logs,-1.6939384937286377,-1.184116005897522,0.2599189579486847,0.05849318578839302
45,0.9397339224815369,16,2024-01-01,sensitive_ratio,2.234682559967041,0.15308870375156403,4.333032608032227,0.576364278793335,fail_ratio,1.9022530317306519,0.6068675518035889,1.6780235767364502,0.2232046127319336,vpn_ratio,-4.357975482940674,-3.3948872089385986,0.927539050579071,0.12337788194417953
175,0.541747510433197,59,2024-01-02,mean_duration,2.4640519618988037,1.0475260019302368,2.0065457820892334,0.46297991275787354,total_logs,-0.7103613018989563,0.24430683255195618,0.9113913178443909,0.21028968691825867,unique_device_count,-0.6911530494689941,0.2499990165233612,0.8857672810554504,0.20437732338905334
178,0.6050196886062622,60,2024-01-02,total_logs,7.977903842926025,6.362753391265869,2.608711004257202,0.5389723181724548,unique_device_count,6.988325119018555,6.152215480804443,0.6990793347358704,0.1444331854581833,vpn_ratio,0.23123270273208618,-0.5351998805999756,0.5874189138412476,0.12136359512805939
222,0.8611506819725037,75,2024-01-01,fail_ratio,4.462038040161133,2.3668508529663086,4.3898091316223145,0.6372010707855225,mean_duration,1.8918794393539429,0.45657235383987427,2.0601062774658203,0.2990339398384094,total_logs,-1.6939384937286377,-1.2722238302230835,0.17784325778484344,0.02581476978957653
228,49.284889221191406,77,2024-01-01,shift_logic,16.128705978393555,0.16674771904945374,254.7841033935547,0.6462023854255676,fail_ratio,-0.7738857269287109,9.46124267578125,104.75785064697266,0.26569464802742004,mean_duration,-0.5112207531929016,-5.008596420288086,20.22638702392578,0.05129966512322426
340,1.5013599395751953,114,2024-01-02,shift_logic,3.010225534439087,-0.02134222351014614,9.19040298461914,0.7651731967926025,fail_ratio,-0.7738857269287109,0.5867846012115479,1.851423740386963,0.15414555370807648,vpn_ratio,0.23123270273208618,-0.40858298540115356,0.40936410427093506,0.03408277407288551
430,0.860358476638794,144,2024-01-02,shift_logic,2.3046936988830566,0.03145257383584976,5.1676249504089355,0.750795304775238,fail_ratio,1.5199474096298218,2.369229793548584,0.721280574798584,0.10479360818862915,mean_duration,-0.32086893916130066,-0.8597519397735596,0.2903948426246643,0.04219096526503563
441,57.52914047241211,148,2024-01-01,shift_logic,17.655637741088867,0.19444148242473602,304.8934020996094,0.6624760031700134,fail_ratio,0.08020109683275223,10.251534461975098,103.45602416992188,0.22479048371315002,mean_duration,0.6704825758934021,-5.101983547210693,33.32136535644531,0.07240106165409088
489,0.4625841975212097,164,2024-01-01,sensitive_ratio,1.4149117469787598,0.09815988689661026,1.7338354587554932,0.4685188829898834,vpn_ratio,-4.357975482940674,-3.4484479427337646,0.8272403478622437,0.22353777289390564,mean_duration,-0.8004446625709534,-0.11234834790229797,0.47347649931907654,0.12794333696365356
498,0.7349433302879333,167,2024-01-01,fail_ratio,3.8578927516937256,1.9188412427902222,3.759920835494995,0.639491617679596,mean_duration,2.488041400909424,1.210408091545105,1.6323468685150146,0.2776314318180084,sensitive_ratio,-0.11570905894041061,0.48996374011039734,0.3668394982814789,0.06239248067140579
